Year,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player,Share
16,Coupe de France,Paris Saint-Germain,0,0,0,0,2,3,2,0,0,7,Zlatan Ibrahimović,0.0032
16,Ligue 1,Paris Saint-Germain,4,2,7,0,9,7,8,1,0,38,Zlatan Ibrahimović,0.0032
16,Champions League,Paris Saint-Germain,0,0,2,0,1,1,1,0,0,5,Zlatan Ibrahimović,0.0032
15,Ligue 1,Paris Saint-Germain,4,1,2,0,4,4,4,0,0,19,Zlatan Ibrahimović,0.0105
15,Coupe de la Ligue,Paris Saint-Germain,0,1,1,0,0,1,0,0,0,3,Zlatan Ibrahimović,0.0105
15,Coupe de France,Paris Saint-Germain,0,1,0,0,0,0,2,1,0,4,Zlatan Ibrahimović,0.0105
15,Champions League,Paris Saint-Germain,1,0,0,0,0,0,1,0,0,2,Zlatan Ibrahimović,0.0105
15,Trophée des Champions,Paris Saint-Germain,1,1,0,0,0,0,0,0,0,2,Zlatan Ibrahimović,0.0105
14,Ligue 1,Paris Saint-Germain,5,1,6,0,4,3,6,1,0,26,Zlatan Ibrahimović,0.01
14,Champions League,Paris Saint-Germain,2,3,3,0,0,2,0,0,0,10,Zlatan Ibrahimović,0.01
14,Coupe de la Ligue,Paris Saint-Germain,1,0,0,0,0,0,1,0,0,2,Zlatan Ibrahimović,0.01
14,Coupe de France,Paris Saint-Germain,1,0,2,0,0,0,0,0,0,3,Zlatan Ibrahimović,0.01
13,Ligue 1,Paris Saint-Germain,2,6,4,0,5,7,3,3,0,30,Zlatan Ibrahimović,0.0529
13,Champions League,Paris Saint-Germain,0,1,1,0,0,0,1,0,0,3,Zlatan Ibrahimović,0.0529
13,Coupe de France,Paris Saint-Germain,0,0,1,0,0,1,0,0,0,2,Zlatan Ibrahimović,0.0529
12,Serie A,AC Milan,1,7,6,0,5,4,4,1,0,28,Zlatan Ibrahimović,0.0124
12,Champions League,AC Milan,0,2,1,0,1,0,1,0,0,5,Zlatan Ibrahimović,0.0124
12,Italy Cup,AC Milan,0,0,0,0,0,0,1,0,0,1,Zlatan Ibrahimović,0.0124
12,Supercoppa Italiana,AC Milan,0,0,0,0,0,1,0,0,0,1,Zlatan Ibrahimović,0.0124
9,Serie A,FC Internazionale,7,1,2,0,6,2,5,2,0,25,Zlatan Ibrahimović,0.0347
9,Italy Cup,FC Internazionale,0,1,0,0,0,1,0,0,1,3,Zlatan Ibrahimović,0.0347
9,Champions League,FC Internazionale,0,0,0,0,0,0,1,0,0,1,Zlatan Ibrahimović,0.0347
8,Serie A,FC Internazionale,2,4,3,0,2,2,3,1,0,17,Zlatan Ibrahimović,0.0208
8,Champions League,FC Internazionale,1,0,2,0,0,2,0,0,0,5,Zlatan Ibrahimović,0.0208
