Season,Competition,Club,Appearances,Goals,Assists,Yellow cards,Sesond yellow cards,Red cards,Minutes played,Player,Second yellow cards,Goals conceded,Clean sheets
10/11,Champions League,Real Madrid,8,-,-,3,-,1,681,Pepe,,,
09/10,Champions League,Real Madrid,6,-,2,1,-,-,540,Pepe,,,
08/09,Champions League,Real Madrid,5,-,-,1,-,-,450,Pepe,,,
07/08,Champions League,Real Madrid,3,-,-,2,1,-,251,Pepe,,,
06/07,Champions League,FC Porto,8,-,-,2,-,-,720,Pepe,,,
05/06,Champions League,FC Porto,5,2,-,1,-,-,450,Pepe,,,
04/05,Champions League,FC Porto,5,-,-,2,-,-,280,Pepe,,,
04/05,Intercontinental Cup,FC Porto,-,-,-,-,-,-,-,Pepe,,,
04/05,UEFA Super Cup,FC Porto,1,-,-,-,-,-,90,Pepe,,,
23/24,Europa League,Olympique Marseille,5,5,-,-,-,-,336,Pierre-Emerick Aubameyang,,,
23/24,Champions League Qu.,Olympique Marseille,2,2,-,1,-,-,166,Pierre-Emerick Aubameyang,,,
22/23,Champions League,Chelsea FC,6,2,1,-,-,-,410,Pierre-Emerick Aubameyang,,,
21/22,Europa League,FC Barcelona,6,2,-,-,-,-,422,Pierre-Emerick Aubameyang,,,
20/21,Europa League,Arsenal FC,8,3,1,1,-,-,471,Pierre-Emerick Aubameyang,,,
19/20,Europa League,Arsenal FC,6,3,-,-,-,-,406,Pierre-Emerick Aubameyang,,,
18/19,Europa League,Arsenal FC,12,8,3,1,-,-,934,Pierre-Emerick Aubameyang,,,
17/18,Champions League,Borussia Dortmund,6,4,-,-,-,-,540,Pierre-Emerick Aubameyang,,,
16/17,Champions League,Borussia Dortmund,9,7,1,1,-,-,708,Pierre-Emerick Aubameyang,,,
15/16,Europa League,Borussia Dortmund,10,8,2,-,-,-,772,Pierre-Emerick Aubameyang,,,
15/16,Europa League Qualifying,Borussia Dortmund,4,3,1,-,-,-,296,Pierre-Emerick Aubameyang,,,
14/15,Champions League,Borussia Dortmund,8,3,2,-,-,-,616,Pierre-Emerick Aubameyang,,,
13/14,Champions League,Borussia Dortmund,9,1,-,1,-,-,382,Pierre-Emerick Aubameyang,,,
09/10,Europa League,LOSC Lille,7,-,-,1,-,-,352,Pierre-Emerick Aubameyang,,,
09/10,Europa League Qualifying,LOSC Lille,2,-,2,-,-,-,116,Pierre-Emerick Aubameyang,,,
07/08,Viareggio Cup,Milan Primavera,3,2,2,1,-,-,276,Pierre-Emerick Aubameyang,,,
06/07,Viareggio Cup,Milan Primavera,3,-,-,-,-,-,195,Pierre-Emerick Aubameyang,,,
23/24,Europa League,AS Roma,-,-,,-,,-,-,Rui Patrício,-,-,-
22/23,Europa League,AS Roma,14,-,,2,,-,1320,Rui Patrício,-,9,6
21/22,Conference League,AS Roma,12,-,,2,,-,1080,Rui Patrício,-,13,6
21/22,UECL Qualifiers,AS Roma,2,-,,-,,-,180,Rui Patrício,-,1,1
19/20,Europa League,Wolverhampton Wanderers,10,-,,-,,-,900,Rui Patrício,-,10,4
19/20,Europa League Qualifying,Wolverhampton Wanderers,5,-,,-,,-,450,Rui Patrício,-,4,2
17/18,Europa League,Sporting CP,6,-,,-,,-,570,Rui Patrício,-,8,2
17/18,Champions League,Sporting CP,6,-,,-,,-,540,Rui Patrício,-,9,-
17/18,Champions League Qu.,Sporting CP,2,-,,-,,-,180,Rui Patrício,-,1,1
16/17,Champions League,Sporting CP,6,-,,-,,-,540,Rui Patrício,-,8,1
15/16,Europa League,Sporting CP,7,-,,-,,1,557,Rui Patrício,-,11,-
15/16,Champions League Qu.,Sporting CP,2,-,,-,,-,180,Rui Patrício,-,4,-
14/15,Europa League,Sporting CP,2,-,,-,,-,180,Rui Patrício,-,2,1
14/15,Champions League,Sporting CP,6,-,,-,,-,540,Rui Patrício,-,12,-
12/13,Europa League,Sporting CP,5,-,,-,,-,450,Rui Patrício,-,9,1
11/12,Europa League,Sporting CP,11,-,,1,,-,990,Rui Patrício,-,12,4
10/11,Europa League,Sporting CP,4,-,,-,,-,360,Rui Patrício,-,3,2
10/11,Europa League Qualifying,Sporting CP,4,-,,-,,-,360,Rui Patrício,-,3,2
09/10,Europa League,Sporting CP,10,-,,-,,-,900,Rui Patrício,-,10,3
09/10,Champions League Qu.,Sporting CP,4,-,,-,,-,360,Rui Patrício,-,4,1
08/09,Champions League,Sporting CP,6,-,,1,,1,522,Rui Patrício,-,14,3
07/08,UEFA Cup,Sporting CP,6,-,,-,,-,540,Rui Patrício,-,3,4
07/08,Champions League,Sporting CP,2,-,,-,,-,180,Rui Patrício,-,2,1
06/07,Champions League,Sporting CP,-,-,,-,,-,-,Rui Patrício,-,-,-
23/24,Champions League,Real Madrid,5,-,-,-,-,-,302,Luka Modrić,,,
22/23,Champions League,Real Madrid,10,2,1,-,-,-,750,Luka Modrić,,,
22/23,Club World Cup,Real Madrid,2,-,-,-,-,-,164,Luka Modrić,,,
22/23,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,67,Luka Modrić,,,
21/22,Champions League,Real Madrid,13,-,4,1,-,-,1078,Luka Modrić,,,
20/21,Champions League,Real Madrid,12,1,3,-,-,-,911,Luka Modrić,,,
19/20,Champions League,Real Madrid,6,1,-,3,-,-,391,Luka Modrić,,,
18/19,Champions League,Real Madrid,6,-,1,1,-,-,467,Luka Modrić,,,
18/19,Club World Cup,Real Madrid,2,1,1,-,-,-,180,Luka Modrić,,,
18/19,UEFA Super Cup,Real Madrid,1,-,-,1,-,-,63,Luka Modrić,,,
17/18,Champions League,Real Madrid,11,1,1,2,-,-,958,Luka Modrić,,,
17/18,Club World Cup,Real Madrid,2,-,1,-,-,-,180,Luka Modrić,,,
17/18,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,90,Luka Modrić,,,
16/17,Champions League,Real Madrid,11,-,1,2,-,-,983,Luka Modrić,,,
16/17,Club World Cup,Real Madrid,2,-,1,-,-,-,195,Luka Modrić,,,
16/17,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,54,Luka Modrić,,,
15/16,Champions League,Real Madrid,12,1,-,-,-,-,903,Luka Modrić,,,
14/15,Champions League,Real Madrid,6,-,1,-,-,-,448,Luka Modrić,,,
14/15,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,86,Luka Modrić,,,
13/14,Champions League,Real Madrid,11,1,3,3,-,-,971,Luka Modrić,,,
12/13,Champions League,Real Madrid,11,1,1,1,-,-,595,Luka Modrić,,,
11/12,Europa League,Tottenham Hotspur,2,1,-,-,-,-,107,Luka Modrić,,,
10/11,Champions League,Tottenham Hotspur,8,1,1,1,-,-,563,Luka Modrić,,,
10/11,Champions League Qu.,Tottenham Hotspur,1,-,-,-,-,-,46,Luka Modrić,,,
08/09,UEFA Cup,Tottenham Hotspur,4,1,1,1,-,-,286,Luka Modrić,,,
07/08,UEFA Cup,GNK Dinamo Zagreb,6,1,-,1,-,-,570,Luka Modrić,,,
07/08,Champions League Qu.,GNK Dinamo Zagreb,6,2,-,1,-,-,570,Luka Modrić,,,
06/07,UEFA Cup,GNK Dinamo Zagreb,2,-,-,1,-,-,180,Luka Modrić,,,
06/07,Champions League Qu.,GNK Dinamo Zagreb,4,-,-,-,-,-,335,Luka Modrić,,,
22/23,Champions League,Olympique Marseille,2,-,-,-,-,-,78,Dimitri Payet,,,
21/22,Conference League,Olympique Marseille,7,3,3,2,-,-,483,Dimitri Payet,,,
21/22,Europa League,Olympique Marseille,4,1,-,2,-,-,292,Dimitri Payet,,,
20/21,Champions League,Olympique Marseille,6,2,-,1,-,-,341,Dimitri Payet,,,
18/19,Europa League,Olympique Marseille,5,2,1,2,-,-,367,Dimitri Payet,,,
17/18,Europa League,Olympique Marseille,12,3,7,2,-,-,812,Dimitri Payet,,,
17/18,Europa League Qualifying,Olympique Marseille,2,-,1,-,-,-,178,Dimitri Payet,,,
15/16,Europa League Qualifying,West Ham United,1,-,1,1,-,-,90,Dimitri Payet,,,
13/14,Champions League,Olympique Marseille,5,-,1,3,1,-,285,Dimitri Payet,,,
12/13,Champions League,LOSC Lille,6,-,1,1,-,-,300,Dimitri Payet,,,
12/13,Champions League Qu.,LOSC Lille,2,-,-,-,-,-,153,Dimitri Payet,,,
11/12,Champions League,LOSC Lille,4,-,-,-,-,-,139,Dimitri Payet,,,
08/09,UEFA Cup,AS Saint-Étienne,10,3,5,-,-,-,654,Dimitri Payet,,,
23/24,Europa League,AS Roma,3,-,-,-,-,-,132,Paulo Dybala,,,
22/23,Europa League,AS Roma,11,5,1,1,-,-,666,Paulo Dybala,,,
21/22,Champions League,Juventus FC,5,3,1,-,-,-,257,Paulo Dybala,,,
20/21,Champions League,Juventus FC,5,1,-,-,-,-,213,Paulo Dybala,,,
19/20,Champions League,Juventus FC,8,3,2,-,-,-,310,Paulo Dybala,,,
18/19,Champions League,Juventus FC,9,5,-,1,-,-,519,Paulo Dybala,,,
17/18,Champions League,Juventus FC,8,1,-,1,1,-,661,Paulo Dybala,,,
16/17,Champions League,Juventus FC,11,4,-,1,-,-,797,Paulo Dybala,,,
15/16,Champions League,Juventus FC,7,1,-,1,-,-,419,Paulo Dybala,,,
2022,Libertadores,CA Vélez Sarsfield,2,-,-,-,-,-,-,Diego Godín,,,
2022,Libertadores,Clube Atlético Mineiro,2,-,-,-,-,-,180,Diego Godín,,,
19/20,Europa League,Inter Milan,6,1,-,-,-,-,540,Diego Godín,,,
19/20,Champions League,Inter Milan,5,-,-,2,-,-,450,Diego Godín,,,
18/19,Champions League,Atlético de Madrid,6,1,-,1,-,-,540,Diego Godín,,,
18/19,UEFA Super Cup,Atlético de Madrid,1,-,1,-,-,-,120,Diego Godín,,,
17/18,Europa League,Atlético de Madrid,8,-,-,-,-,-,720,Diego Godín,,,
17/18,Champions League,Atlético de Madrid,4,-,-,-,-,-,360,Diego Godín,,,
16/17,Champions League,Atlético de Madrid,11,-,-,2,-,-,990,Diego Godín,,,
15/16,Champions League,Atlético de Madrid,12,-,1,2,-,-,1109,Diego Godín,,,
14/15,Champions League,Atlético de Madrid,9,1,-,3,-,-,810,Diego Godín,,,
13/14,Champions League,Atlético de Madrid,10,2,-,2,-,-,930,Diego Godín,,,
12/13,Europa League,Atlético de Madrid,1,-,-,-,-,-,90,Diego Godín,,,
12/13,UEFA Super Cup,Atlético de Madrid,1,-,-,-,-,-,90,Diego Godín,,,
11/12,Europa League,Atlético de Madrid,13,1,-,3,-,-,1170,Diego Godín,,,
10/11,Europa League,Atlético de Madrid,3,1,-,-,-,-,270,Diego Godín,,,
10/11,UEFA Super Cup,Atlético de Madrid,1,-,-,-,-,-,90,Diego Godín,,,
09/10,Europa League,Villarreal CF,4,-,-,-,-,-,316,Diego Godín,,,
09/10,Europa League Qualifying,Villarreal CF,2,-,1,-,-,-,142,Diego Godín,,,
08/09,Champions League,Villarreal CF,7,-,-,2,-,-,630,Diego Godín,,,
07/08,UEFA Cup,Villarreal CF,7,-,-,-,-,-,630,Diego Godín,,,
2007,Libertadores,Club Nacional,10,2,-,1,-,-,900,Diego Godín,,,
2006,Copa Sudamericana,Club Nacional,6,-,-,2,-,1,448,Diego Godín,,,
2006,Libertadores,Club Nacional,-,-,-,-,-,-,-,Diego Godín,,,
19/20,Champions League,Juventus FC,8,2,2,-,-,-,509,Gonzalo Higuaín,,,
18/19,Europa League,Chelsea FC,1,-,-,-,-,-,24,Gonzalo Higuaín,,,
18/19,Europa League,AC Milan,5,2,2,1,-,-,450,Gonzalo Higuaín,,,
17/18,Champions League,Juventus FC,10,5,1,1,-,-,831,Gonzalo Higuaín,,,
16/17,Champions League,Juventus FC,12,5,1,1,-,-,1039,Gonzalo Higuaín,,,
15/16,Europa League,SSC Napoli,5,2,-,-,-,-,223,Gonzalo Higuaín,,,
14/15,Europa League,SSC Napoli,14,7,3,-,-,-,832,Gonzalo Higuaín,,,
14/15,Champions League Qu.,SSC Napoli,2,1,-,1,-,-,180,Gonzalo Higuaín,,,
13/14,Europa League,SSC Napoli,4,1,2,-,-,-,334,Gonzalo Higuaín,,,
13/14,Champions League,SSC Napoli,5,4,2,1,-,-,406,Gonzalo Higuaín,,,
12/13,Champions League,Real Madrid,9,1,2,1,-,-,479,Gonzalo Higuaín,,,
11/12,Champions League,Real Madrid,12,3,2,2,-,-,526,Gonzalo Higuaín,,,
10/11,Champions League,Real Madrid,6,2,-,-,-,-,409,Gonzalo Higuaín,,,
09/10,Champions League,Real Madrid,7,2,1,1,-,-,470,Gonzalo Higuaín,,,
08/09,Champions League,Real Madrid,7,-,-,-,-,-,459,Gonzalo Higuaín,,,
07/08,Champions League,Real Madrid,5,-,-,-,-,-,153,Gonzalo Higuaín,,,
06/07,Champions League,Real Madrid,2,-,1,-,-,-,99,Gonzalo Higuaín,,,
2006,Copa Sudamericana,CA River Plate,2,-,-,-,-,-,78,Gonzalo Higuaín,,,
2006,Libertadores,CA River Plate,4,2,-,-,-,-,216,Gonzalo Higuaín,,,
23/24,Champions League,Atlético de Madrid,5,-,-,-,-,-,381,Koke,,,
22/23,Champions League,Atlético de Madrid,4,-,-,1,-,-,330,Koke,,,
21/22,Champions League,Atlético de Madrid,9,-,1,1,-,-,665,Koke,,,
20/21,Champions League,Atlético de Madrid,8,-,-,2,-,-,663,Koke,,,
19/20,Champions League,Atlético de Madrid,9,-,1,1,-,-,800,Koke,,,
18/19,Champions League,Atlético de Madrid,7,2,1,1,-,-,563,Koke,,,
18/19,UEFA Super Cup,Atlético de Madrid,1,1,-,-,-,-,120,Koke,,,
17/18,Europa League,Atlético de Madrid,9,2,3,1,-,-,755,Koke,,,
17/18,Champions League,Atlético de Madrid,4,-,-,-,-,-,333,Koke,,,
16/17,Champions League,Atlético de Madrid,12,-,1,2,-,-,1044,Koke,,,
15/16,Champions League,Atlético de Madrid,11,-,1,2,-,-,1038,Koke,,,
14/15,Champions League,Atlético de Madrid,9,2,4,2,-,-,834,Koke,,,
13/14,Champions League,Atlético de Madrid,13,1,2,3,-,-,1093,Koke,,,
12/13,Europa League,Atlético de Madrid,7,-,-,-,-,-,343,Koke,,,
12/13,UEFA Super Cup,Atlético de Madrid,1,-,1,-,-,-,80,Koke,,,
11/12,Europa League,Atlético de Madrid,12,-,2,1,-,-,640,Koke,,,
22/23,Champions League,Tottenham Hotspur,6,-,,-,,-,540,Hugo Lloris,-,6,2
21/22,Conference League,Tottenham Hotspur,1,-,,-,,-,90,Hugo Lloris,-,2,-
20/21,Europa League,Tottenham Hotspur,4,-,,-,,-,390,Hugo Lloris,-,5,1
20/21,Europa League Qualifying,Tottenham Hotspur,1,-,,-,,-,90,Hugo Lloris,-,1,-
19/20,Champions League,Tottenham Hotspur,4,-,,-,,-,360,Hugo Lloris,-,13,-
18/19,Champions League,Tottenham Hotspur,11,-,,-,,1,979,Hugo Lloris,-,15,4
17/18,Champions League,Tottenham Hotspur,7,-,,-,,-,630,Hugo Lloris,-,8,1
16/17,Europa League,Tottenham Hotspur,2,-,,-,,-,180,Hugo Lloris,-,3,-
16/17,Champions League,Tottenham Hotspur,6,-,,-,,-,540,Hugo Lloris,-,6,2
15/16,Europa League,Tottenham Hotspur,9,-,,-,,-,810,Hugo Lloris,-,11,2
14/15,Europa League,Tottenham Hotspur,6,-,,-,,1,537,Hugo Lloris,-,4,3
13/14,Europa League,Tottenham Hotspur,5,-,,-,,-,450,Hugo Lloris,-,4,3
12/13,Europa League,Tottenham Hotspur,5,-,,-,,-,450,Hugo Lloris,-,3,2
11/12,Champions League,Olympique Lyon,8,-,,-,,-,750,Hugo Lloris,-,8,4
11/12,Champions League Qu.,Olympique Lyon,2,-,,-,,-,180,Hugo Lloris,-,2,-
10/11,Champions League,Olympique Lyon,8,-,,-,,-,720,Hugo Lloris,-,14,2
09/10,Champions League,Olympique Lyon,12,-,,-,,-,1080,Hugo Lloris,-,10,4
09/10,Champions League Qu.,Olympique Lyon,2,-,,-,,-,180,Hugo Lloris,-,2,-
08/09,Champions League,Olympique Lyon,8,-,,-,,-,720,Hugo Lloris,-,16,1
23/24,Champions League,Paris Saint-Germain,6,3,-,-,-,-,540,Kylian Mbappé,,,
22/23,Champions League,Paris Saint-Germain,8,7,3,-,-,-,652,Kylian Mbappé,,,
21/22,Champions League,Paris Saint-Germain,8,6,6,1,-,-,671,Kylian Mbappé,,,
20/21,Champions League,Paris Saint-Germain,10,8,3,-,-,-,900,Kylian Mbappé,,,
19/20,Champions League,Paris Saint-Germain,10,5,6,1,-,-,652,Kylian Mbappé,,,
18/19,Champions League,Paris Saint-Germain,8,4,5,1,-,-,701,Kylian Mbappé,,,
17/18,Champions League,Paris Saint-Germain,8,4,3,1,-,-,658,Kylian Mbappé,,,
16/17,Champions League,AS Monaco,9,6,-,-,-,-,536,Kylian Mbappé,,,
15/16,Europa League,AS Monaco,1,-,1,-,-,-,34,Kylian Mbappé,,,
14/15,UEFA Youth League,AS Monaco UEFA U19,1,-,1,-,-,-,30,Kylian Mbappé,,,
23/24,Club World Cup,Al-Ittihad Club,2,1,-,-,-,-,168,N'Golo Kanté,,,
23/24,AFC Champions League,Al-Ittihad Club,3,-,1,1,-,-,259,N'Golo Kanté,,,
22/23,Champions League,Chelsea FC,2,-,-,-,-,-,165,N'Golo Kanté,,,
21/22,Champions League,Chelsea FC,6,-,1,-,-,-,428,N'Golo Kanté,,,
21/22,Club World Cup,Chelsea FC,2,-,-,-,-,-,164,N'Golo Kanté,,,
21/22,UEFA Super Cup,Chelsea FC,1,-,-,-,-,-,65,N'Golo Kanté,,,
20/21,Champions League,Chelsea FC,13,-,1,1,-,-,709,N'Golo Kanté,,,
19/20,Champions League,Chelsea FC,4,-,-,1,-,-,360,N'Golo Kanté,,,
19/20,UEFA Super Cup,Chelsea FC,1,-,-,-,-,-,120,N'Golo Kanté,,,
18/19,Europa League,Chelsea FC,10,-,-,1,-,-,579,N'Golo Kanté,,,
17/18,Champions League,Chelsea FC,6,-,-,-,-,-,498,N'Golo Kanté,,,
23/24,Champions League,Bayern Munich,6,4,3,-,-,-,530,Harry Kane,,,
22/23,Champions League,Tottenham Hotspur,8,1,2,1,-,-,720,Harry Kane,,,
21/22,Conference League,Tottenham Hotspur,4,4,1,-,-,-,265,Harry Kane,,,
21/22,UECL Qualifiers,Tottenham Hotspur,1,2,-,-,-,-,72,Harry Kane,,,
20/21,Europa League,Tottenham Hotspur,5,3,2,-,-,-,313,Harry Kane,,,
20/21,Europa League Qualifying,Tottenham Hotspur,3,5,1,-,-,-,195,Harry Kane,,,
19/20,Champions League,Tottenham Hotspur,5,6,-,1,-,-,450,Harry Kane,,,
18/19,Champions League,Tottenham Hotspur,9,5,1,1,-,-,778,Harry Kane,,,
17/18,Champions League,Tottenham Hotspur,7,7,2,-,-,-,597,Harry Kane,,,
16/17,Europa League,Tottenham Hotspur,2,-,-,-,-,-,180,Harry Kane,,,
16/17,Champions League,Tottenham Hotspur,3,2,-,1,-,-,263,Harry Kane,,,
15/16,Europa League,Tottenham Hotspur,7,2,1,1,-,-,358,Harry Kane,,,
14/15,Europa League,Tottenham Hotspur,7,5,-,-,-,-,422,Harry Kane,,,
13/14,Europa League,Tottenham Hotspur,5,-,2,-,-,-,122,Harry Kane,,,
11/12,Europa League,Tottenham Hotspur,5,1,-,1,-,-,201,Harry Kane,,,
23/24,Europa League,Real Betis Balompié,6,1,2,1,-,-,361,Isco,,,
22/23,Champions League,Sevilla FC,6,1,1,-,-,-,402,Isco,,,
21/22,Champions League,Real Madrid,-,-,-,-,-,-,-,Isco,,,
20/21,Champions League,Real Madrid,3,-,-,-,-,-,97,Isco,,,
19/20,Champions League,Real Madrid,4,1,-,-,-,-,272,Isco,,,
18/19,Club World Cup,Real Madrid,1,-,-,-,-,-,22,Isco,,,
18/19,Champions League,Real Madrid,4,1,-,1,-,-,251,Isco,,,
18/19,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,83,Isco,,,
17/18,Champions League,Real Madrid,11,-,2,1,-,-,735,Isco,,,
17/18,Club World Cup,Real Madrid,2,-,-,-,-,-,141,Isco,,,
17/18,UEFA Super Cup,Real Madrid,1,1,-,-,-,-,74,Isco,,,
16/17,Champions League,Real Madrid,6,1,-,1,-,-,386,Isco,,,
16/17,Club World Cup,Real Madrid,1,-,-,-,-,-,39,Isco,,,
16/17,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,66,Isco,,,
15/16,Champions League,Real Madrid,11,-,3,1,-,-,709,Isco,,,
14/15,Champions League,Real Madrid,11,-,-,1,-,-,869,Isco,,,
14/15,Club World Cup,Real Madrid,2,1,1,-,-,-,166,Isco,,,
14/15,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,18,Isco,,,
13/14,Champions League,Real Madrid,12,3,2,1,-,-,641,Isco,,,
12/13,Champions League,Málaga CF,8,3,4,-,-,-,708,Isco,,,
12/13,Champions League Qu.,Málaga CF,2,-,1,1,-,-,180,Isco,,,
10/11,Champions League,Valencia CF,2,-,-,-,-,-,56,Isco,,,
23/24,Club World Cup,Fluminense Football Club,2,-,-,1,-,-,141,Marcelo,,,
2023,Libertadores,Fluminense Football Club,8,-,-,1,-,1,590,Marcelo,,,
22/23,Europa League,Olympiacos Piraeus,3,-,-,-,-,-,81,Marcelo,,,
21/22,Champions League,Real Madrid,3,-,-,-,-,-,93,Marcelo,,,
20/21,Champions League,Real Madrid,2,-,1,1,-,-,167,Marcelo,,,
19/20,Champions League,Real Madrid,4,-,3,1,-,-,266,Marcelo,,,
18/19,Champions League,Real Madrid,4,1,1,-,-,-,344,Marcelo,,,
18/19,Club World Cup,Real Madrid,2,-,2,-,-,-,180,Marcelo,,,
18/19,UEFA Super Cup,Real Madrid,1,-,-,1,-,-,120,Marcelo,,,
17/18,Champions League,Real Madrid,11,3,4,1,-,-,958,Marcelo,,,
17/18,Club World Cup,Real Madrid,2,-,-,-,-,-,180,Marcelo,,,
17/18,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,90,Marcelo,,,
16/17,Champions League,Real Madrid,11,-,2,1,-,-,1001,Marcelo,,,
16/17,Club World Cup,Real Madrid,2,-,-,-,-,-,210,Marcelo,,,
16/17,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,120,Marcelo,,,
15/16,Champions League,Real Madrid,11,-,1,-,-,-,910,Marcelo,,,
14/15,Champions League,Real Madrid,11,1,2,4,-,-,779,Marcelo,,,
14/15,Club World Cup,Real Madrid,2,-,-,-,-,-,134,Marcelo,,,
14/15,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,6,Marcelo,,,
13/14,Champions League,Real Madrid,7,1,1,2,-,-,585,Marcelo,,,
12/13,Champions League,Real Madrid,2,1,1,-,-,-,180,Marcelo,,,
11/12,Champions League,Real Madrid,7,-,4,2,1,-,466,Marcelo,,,
10/11,Champions League,Real Madrid,12,2,3,1,-,-,991,Marcelo,,,
09/10,Champions League,Real Madrid,6,-,-,3,-,-,496,Marcelo,,,
08/09,Champions League,Real Madrid,5,-,-,1,-,-,360,Marcelo,,,
07/08,Champions League,Real Madrid,6,-,1,-,-,-,540,Marcelo,,,
2006,Copa Sudamericana,Fluminense Football Club,3,-,-,2,-,-,253,Marcelo,,,
22/23,Europa League,Manchester United,12,-,,-,,-,1080,David de Gea,-,12,5
21/22,Champions League,Manchester United,7,-,,-,,-,630,David de Gea,-,9,1
20/21,Europa League,Manchester United,5,-,,-,,-,480,David de Gea,-,6,2
20/21,Champions League,Manchester United,5,-,,-,,-,450,David de Gea,-,8,1
19/20,Europa League,Manchester United,2,-,,-,,-,180,David de Gea,-,2,1
18/19,Champions League,Manchester United,9,-,,-,,-,810,David de Gea,-,9,3
17/18,Champions League,Manchester United,6,-,,-,,-,540,David de Gea,-,3,4
17/18,UEFA Super Cup,Manchester United,1,-,,-,,-,90,David de Gea,-,2,-
16/17,Europa League,Manchester United,3,-,,-,,-,270,David de Gea,-,4,-
15/16,Europa League,Manchester United,2,-,,-,,-,180,David de Gea,-,3,-
15/16,Champions League,Manchester United,6,-,,-,,-,540,David de Gea,-,7,2
13/14,Champions League,Manchester United,10,-,,-,,-,900,David de Gea,-,9,5
12/13,Champions League,Manchester United,7,-,,-,,-,630,David de Gea,-,8,1
11/12,Europa League,Manchester United,4,-,,-,,-,360,David de Gea,-,7,1
11/12,Champions League,Manchester United,4,-,,-,,-,360,David de Gea,-,7,1
10/11,Europa League,Atlético de Madrid,5,-,,1,,-,450,David de Gea,-,7,-
10/11,UEFA Super Cup,Atlético de Madrid,1,-,,-,,-,90,David de Gea,-,-,1
09/10,Europa League,Atlético de Madrid,8,-,,-,,-,761,David de Gea,-,7,4
09/10,Champions League,Atlético de Madrid,1,-,,-,,-,65,David de Gea,-,2,-
23/24,Champions League,1.FC Union Berlin,3,-,-,3,-,-,260,Leonardo Bonucci,,,
22/23,Europa League,Juventus FC,3,-,-,1,-,-,136,Leonardo Bonucci,,,
22/23,Champions League,Juventus FC,6,1,-,-,-,-,443,Leonardo Bonucci,,,
21/22,Champions League,Juventus FC,7,-,-,-,-,-,579,Leonardo Bonucci,,,
20/21,Champions League,Juventus FC,6,-,-,-,-,-,497,Leonardo Bonucci,,,
19/20,Champions League,Juventus FC,7,-,-,1,-,-,630,Leonardo Bonucci,,,
18/19,Champions League,Juventus FC,10,-,3,-,-,-,900,Leonardo Bonucci,,,
17/18,Europa League,AC Milan,9,-,1,1,-,-,726,Leonardo Bonucci,,,
17/18,Europa League Qualifying,AC Milan,2,-,-,-,-,-,180,Leonardo Bonucci,,,
16/17,Champions League,Juventus FC,11,1,1,3,-,-,968,Leonardo Bonucci,,,
15/16,Champions League,Juventus FC,8,-,-,1,-,-,750,Leonardo Bonucci,,,
14/15,Champions League,Juventus FC,13,-,-,2,-,-,1170,Leonardo Bonucci,,,
13/14,Europa League,Juventus FC,7,1,-,1,-,-,613,Leonardo Bonucci,,,
13/14,Champions League,Juventus FC,6,-,-,1,-,-,468,Leonardo Bonucci,,,
12/13,Champions League,Juventus FC,10,1,-,2,-,-,900,Leonardo Bonucci,,,
10/11,Europa League,Juventus FC,4,-,-,-,-,-,360,Leonardo Bonucci,,,
10/11,Europa League Qualifying,Juventus FC,4,1,-,-,-,-,360,Leonardo Bonucci,,,
06/07,Viareggio Cup,Inter Milan Primavera,2,-,-,-,-,-,180,Leonardo Bonucci,,,
23/24,AFC Champions League,Al-Nassr FC,4,1,1,-,-,-,355,Sadio Mané,,,
23/24,AFC CL-Qualification,Al-Nassr FC,1,-,-,-,-,-,90,Sadio Mané,,,
22/23,Champions League,Bayern Munich,9,3,1,-,-,-,551,Sadio Mané,,,
21/22,Champions League,Liverpool FC,13,5,1,2,-,-,822,Sadio Mané,,,
20/21,Champions League,Liverpool FC,10,3,1,2,-,-,715,Sadio Mané,,,
19/20,Champions League,Liverpool FC,8,2,2,2,-,-,631,Sadio Mané,,,
19/20,Club World Cup,Liverpool FC,2,-,1,1,-,-,142,Sadio Mané,,,
19/20,UEFA Super Cup,Liverpool FC,1,2,-,-,-,-,103,Sadio Mané,,,
18/19,Champions League,Liverpool FC,13,4,3,2,-,-,1152,Sadio Mané,,,
17/18,Champions League,Liverpool FC,11,10,1,2,-,-,940,Sadio Mané,,,
17/18,Champions League Qu.,Liverpool FC,2,-,1,-,-,-,177,Sadio Mané,,,
15/16,Europa League Qualifying,Southampton FC,3,1,2,-,-,-,265,Sadio Mané,,,
14/15,Champions League Qu.,Red Bull Salzburg,3,-,-,-,-,-,259,Sadio Mané,,,
13/14,Europa League,Red Bull Salzburg,9,4,3,2,1,-,713,Sadio Mané,,,
13/14,Champions League Qu.,Red Bull Salzburg,2,-,-,1,-,-,172,Sadio Mané,,,
23/24,Champions League,Atlético de Madrid,6,-,,-,,-,540,Jan Oblak,-,6,2
