Season,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player
11/12,Premier League,Chelsea FC,-,3,-,-,1,1,-,1,-,6,Fernando Torres
11/12,Champions League,Chelsea FC,1,1,-,-,-,-,-,1,-,3,Fernando Torres
11/12,FA Cup,Chelsea FC,-,-,-,-,-,1,1,-,-,2,Fernando Torres
10/11,Premier League,Chelsea FC,-,-,-,-,-,-,1,-,-,1,Fernando Torres
10/11,Premier League,Liverpool FC,3,-,2,-,2,1,-,1,-,9,Fernando Torres
09/10,Europa League,Liverpool FC,-,-,-,-,2,-,2,-,-,4,Fernando Torres
09/10,Premier League,Liverpool FC,4,3,2,-,3,3,2,1,-,18,Fernando Torres
08/09,Premier League,Liverpool FC,1,2,1,-,3,3,2,2,-,14,Fernando Torres
08/09,Champions League,Liverpool FC,1,1,-,-,-,-,-,-,-,2,Fernando Torres
08/09,FA Cup,Liverpool FC,-,-,-,-,-,-,-,1,-,1,Fernando Torres
07/08,Premier League,Liverpool FC,3,3,1,-,6,5,5,1,-,24,Fernando Torres
07/08,Champions League,Liverpool FC,1,1,-,-,-,3,1,-,-,6,Fernando Torres
07/08,EFL Cup,Liverpool FC,-,-,-,-,1,1,1,-,-,3,Fernando Torres
06/07,LaLiga,Atlético de Madrid,5,2,1,1,3,2,-,-,-,14,Fernando Torres
06/07,Copa del Rey,Atlético de Madrid,-,-,-,-,-,1,-,-,-,1,Fernando Torres
05/06,LaLiga,Atlético de Madrid,3,1,1,-,2,4,2,-,-,13,Fernando Torres
04/05,LaLiga,Atlético de Madrid,5,2,2,-,3,-,3,1,-,16,Fernando Torres
04/05,Copa del Rey,Atlético de Madrid,1,-,-,-,-,1,-,-,-,2,Fernando Torres
04/05,UI Cup,Atlético de Madrid,1,-,1,-,-,-,-,-,-,2,Fernando Torres
03/04,LaLiga,Atlético de Madrid,2,3,4,-,2,4,5,-,-,20,Fernando Torres
03/04,Copa del Rey,Atlético de Madrid,1,-,-,-,-,-,-,-,-,1,Fernando Torres
02/03,LaLiga,Atlético de Madrid,2,-,2,-,4,3,2,-,-,13,Fernando Torres
02/03,Copa del Rey,Atlético de Madrid,-,1,-,-,-,-,-,-,-,1,Fernando Torres
01/02,LaLiga2,Atlético de Madrid,-,1,1,-,-,2,2,-,-,6,Fernando Torres
01/02,Copa del Rey,Atlético de Madrid,1,-,-,-,-,-,-,-,-,1,Fernando Torres
00/01,LaLiga2,Atlético de Madrid,-,-,-,-,-,-,1,-,-,1,Fernando Torres
18/19,AFC Champions League,Al-Sadd SC,2,1,-,-,-,-,-,-,,3,Xavi
18/19,Stars League,Al-Sadd SC,-,-,-,-,2,-,-,-,,2,Xavi
17/18,AFC Champions League,Al-Sadd SC,1,-,-,-,-,-,-,-,,1,Xavi
17/18,Stars League,Al-Sadd SC,1,2,1,-,1,-,-,-,,5,Xavi
16/17,Stars League,Al-Sadd SC,1,-,3,-,2,-,1,-,,7,Xavi
15/16,Stars League,Al-Sadd SC,1,-,-,-,1,1,-,-,,3,Xavi
14/15,LaLiga,FC Barcelona,-,1,-,-,1,-,-,-,,2,Xavi
13/14,LaLiga,FC Barcelona,-,-,1,-,1,-,1,-,,3,Xavi
13/14,Champions League,FC Barcelona,-,-,-,-,1,-,-,-,,1,Xavi
12/13,Champions League,FC Barcelona,-,-,-,-,-,-,1,-,,1,Xavi
12/13,LaLiga,FC Barcelona,1,1,1,-,-,-,2,-,,5,Xavi
12/13,Supercopa,FC Barcelona,-,-,-,-,-,-,1,-,,1,Xavi
11/12,LaLiga,FC Barcelona,3,2,1,-,2,-,2,-,,10,Xavi
11/12,Copa del Rey,FC Barcelona,-,-,1,-,-,-,1,-,,2,Xavi
11/12,Club World Cup,FC Barcelona,-,1,-,-,-,-,-,-,,1,Xavi
11/12,Champions League,FC Barcelona,-,-,-,-,-,1,-,-,,1,Xavi
10/11,Champions League,FC Barcelona,-,-,-,-,-,1,1,-,,2,Xavi
